ID2,ID1,Flag,SITENAME,LONDD,LATDD,tjan,tfeb,tmar,tapr,tmay,tjun,tjul,taug,tsep,toct,tnov,tdec,pjan,pfeb,pmar,papr,pmay,pjun,pjul,paug,psep,poct,pnov,pdec,sjan,sfeb,smar,sapr,smay,sjun,sjul,saug,ssep,soct,snov,sdec,tave,tmax,tmin,gdd0,gdd5,chill,mtco,mtwa,mipt,aaetpt,apetpt,miptev,aaetptev,apetptev,miptdc,aaetptdc,apetptdc,totsnopt,annp,pjanpann,pjulpann,tmam,tjja,tson,tdjf,pmam,pjja,pson,pdjf,smam,sjja,sson,sdjf
11,11,,Bereziuk,-76.12,54.047,-23,-22.4,-15.9,-5.8,2.9,8.6,12.1,11.5,7,1.3,-6.3,-18,34,25,31,31,42,68,80,94,102,78,66,40,25.3,38.6,43.4,44,41.1,42.1,41.3,38,25,18.9,13.5,18.1,-4,34,-50.6,1283.7,549.1,244,-23,12.1,0.678,269.4299,397.3601,0.688,250.292,363.7875,0.7144,198.1155,277.3184,285.7152,691,0.0492,0.1158,-6.266666666666667,10.733333333333334,0.666666666666667,-15.766666666666666,34.666666666666664,80.66666666666667,82,46.666666666666664,42.833333333333336,40.46666666666667,19.133333333333333,18.96666666666667
12,12,,Big Pond,-78.55,39.767,-3.8,-2.2,3.3,9,14.4,18.8,20.9,20.2,16.3,10,4.4,-1.2,72,69,96,95,105,98,105,87,84,76,82,78,35.1,39.2,44.9,48.1,50.8,53.6,53.6,52.5,50.4,48.1,33.9,29.3,9.175,37.4,-29.6,3553.1,2257.3,133,-3.8,20.9,0.9066,724.8858,799.5963,0.9066,724.8858,799.5963,0.8972,624.192,695.7232,237.0739,1047,0.0688,0.1003,8.9,19.96666666666667,10.233333333333334,-0.2,98.66666666666667,96.66666666666667,80.66666666666667,77.33333333333333,47.93333333333334,53.23333333333333,44.13333333333333,32.76666666666667
13,13,,BL-Tombigbee,-88.474,33.563,5.4,7.8,12.6,17.3,21.4,25.4,27.1,26.6,23.4,17.2,12.1,7.5,137,131,154,144,117,94,117,89,89,83,113,142,46.2,50.6,54.8,60.5,62.1,64.8,61.6,63.9,61,65.1,52,46.6,16.98333333333333,41.7,-18.8,6220,4395,0,5.4,27.1,0.8679,979.906,1129.0071,0.8679,979.906,1129.0071,0.8679,979.906,1129.0071,0,1410,0.0972,0.083,17.1,26.366666666666664,17.566666666666666,8.333333333333334,138.33333333333334,100,95,130.66666666666666,59.13333333333333,63.43333333333334,59.36666666666667,48.26666666666667
14,14,,Blue Mounds Creek,-89.867,43.083,-9.7,-6.8,0.1,7.7,14,19.1,21.7,20.2,15.4,9.4,1.5,-6.5,25,27,52,81,86,107,107,105,95,62,52,37,51.3,57.8,54.9,55.3,62,65.3,66.7,65.4,58.3,54.9,41.4,42.3,7.175,39.8,-35.5,3318,2164.3,154,-9.7,21.7,0.8605,706.3043,820.7685,0.854,669.3685,783.8076,0.8582,607.6091,707.9886,152.4597,836,0.0299,0.128,7.266666666666667,20.333333333333332,8.766666666666667,-4.9,73,106.33333333333333,69.66666666666667,38,57.4,65.8,51.53333333333333,45
15,15,,Bog D,-95.167,47.183,-15.3,-11.5,-3.8,5.3,12.5,17.3,20.2,18.9,13.2,7.1,-2.7,-11.8,22,14,34,55,71,107,89,91,70,58,28,23,46.8,51.5,52.8,56.7,58.7,60.9,68.6,65.6,54.7,47.3,35.8,36.8,4.116666666666666,40.3,-41.6,2829.9,1793.3,174,-15.3,20.2,0.7649,547.4714,715.7856,0.7724,524.8549,679.4937,0.7675,473.4424,616.8696,128.2309,662,0.0332,0.1344,4.666666666666667,18.8,5.866666666666666,-9.933333333333334,53.333333333333336,95.66666666666667,52,24.333333333333332,56.06666666666666,65.03333333333333,45.93333333333334,39.8
16,16,,Border Beacon,-63.2,55.333,-21.7,-20.6,-15.6,-8.9,-0.7,6,10.7,9.3,4.4,-2.1,-8.6,-17.5,56,52,63,54,45,69,104,90,71,64,73,57,32.6,40.8,39.6,39.5,34.9,37.4,38.1,33.6,28.2,23.7,20.4,25.8,-5.441666666666667,30.6,-46.1,901.1,317.7,272,-21.7,10.7,0.7772,266.4726,342.8806,0.7889,237.9899,301.6691,0.7232,147.5382,204.0157,463.0159,798,0.0702,0.1303,-8.4,8.666666666666666,-2.1,-15.933333333333332,54,87.66666666666667,69.33333333333333,62,38,36.36666666666667,24.1,26.26666666666667
17,17,,Boundary Pond,-70.675,45.567,-12.5,-10.9,-5.2,1.9,9.3,14.3,17,15.8,11,5,-1.5,-9.1,86,63,83,78,93,111,111,122,101,96,91,90,25.1,32.1,33.7,38.4,41.4,42.6,46.5,45.3,39.2,31.8,20.3,19.9,2.925,34.6,-41.6,2236.5,1271.3,194,-12.5,17,0.7784,447.4856,574.8655,0.7855,421.8517,537.0435,0.7989,366.5234,458.7919,443.7374,1125,0.0764,0.0987,2,15.7,4.833333333333333,-7.7,84.66666666666667,114.66666666666667,96,89,37.833333333333336,44.8,30.433333333333334,21.76666666666667
18,18,,Brandreth Bog,-74.683,43.917,-10.8,-9.9,-4,2.9,10.1,14.9,17.6,16.4,12.4,6.3,0.2,-7.5,76,70,79,87,98,100,102,115,109,94,105,91,37.6,44,45,47.6,50.3,53.1,58,53.8,48.1,42.9,27.8,27.6,4.05,36.3,-39.1,2445,1422.8,184,-10.8,17.6,0.8215,546.8326,665.6297,0.8286,515.5737,622.1877,0.8513,455.5233,535.0871,417.4924,1126,0.0675,0.0906,3,16.3,6.3,-6.033333333333334,88,105.66666666666667,102.66666666666667,90.66666666666667,47.633333333333326,54.96666666666666,39.6,31
19,20,,Camel Lake,-85.017,30.267,10.5,12,15.6,19.3,23.2,26.4,27.4,27.3,25.6,20.5,15.9,12,111,109,130,100,103,141,187,164,154,84,76,98,56.3,59.4,66.6,75,75.3,70.6,64.4,64.1,66.3,72.3,64.9,57.8,19.64166666666667,39,-9.7,7186.1,5361.1,0,10.5,27.4,0.9547,1244.3212,1303.3068,0.9547,1244.3212,1303.3068,0.9547,1244.3212,1303.3068,0,1457,0.0762,0.1283,19.366666666666664,27.03333333333333,20.666666666666668,12.8,111,164,104.66666666666667,95,72.3,66.36666666666666,67.83333333333333,59.666666666666664
20,21,,Carbuncle Pond,-71.7735,41.6979,-3.1,-2.2,2.5,7.9,13.5,18.6,21.8,21.1,17,11.4,5.9,-0.3,103,94,110,108,101,87,91,103,99,102,123,115,58.1,59.7,60,57.8,57.4,59.8,60.6,59.6,60.2,60.4,49.6,50.9,9.508333333333335,37.4,-24.8,3639.2,2331,130,-3.1,21.8,0.744,634.161,852.3932,0.744,634.161,852.3932,0.7524,553.3403,735.386,318.8628,1236,0.0833,0.0736,7.966666666666666,20.5,11.433333333333332,0.8333333333333335,106.33333333333333,93.66666666666667,108,113.66666666666667,58.4,60,56.73333333333333,52.86666666666667
21,22,,Caribou Hill,-63.25,55.667,-22.1,-21,-16,-9.3,-1,5.7,10.4,9,4.1,-2.4,-9,-17.9,56,49,61,52,43,67,100,88,70,62,72,57,32.1,40.6,40.2,40.1,34.7,37.2,37.8,33.5,27.8,22.9,20,25.3,-5.791666666666667,30.5,-47.2,859.6,290.4,275,-22.1,10.4,0.7846,263.6581,336.0435,0.7972,235.1971,295.0323,0.7327,143.8909,196.386,455.3163,777,0.0721,0.1287,-8.766666666666667,8.366666666666667,-2.4333333333333336,-16.333333333333332,52,85,68,61.666666666666664,38.333333333333336,36.166666666666664,23.566666666666666,25.8
22,23,,Lac Castor,-72.999,46.614,-13.9,-12,-5.2,2.9,10.4,15.7,18.4,16.9,11.7,5.8,-1.6,-10.2,75,62,73,76,95,101,94,103,99,89,95,94,31.8,38,39.8,41.5,42.8,46.5,51,47.9,40.9,31.6,22.7,24.9,3.241666666666667,36.4,-42.6,2457.4,1464.1,186,-13.9,18.4,0.7709,460.9905,597.9955,0.7946,447.1611,562.7725,0.817,403.5207,493.9085,415.6143,1056,0.071,0.089,2.7,17,5.3,-8.566666666666666,81.33333333333333,99.33333333333333,94.33333333333333,88,41.36666666666667,48.46666666666667,31.733333333333334,26.466666666666665
23,24,,Cedar Bog,-74.658,41.3314,-5.2,-3.9,1.8,8,14,18.4,20.9,19.8,15.6,9.5,4,-2.5,81,76,96,103,113,105,113,104,105,89,106,93,47.3,50.2,52.4,53.8,54.9,57.5,59.9,59.2,54.4,52.9,39.7,38.5,8.366666666666665,38.8,-31.3,3383.5,2144.1,142,-5.2,20.9,0.9361,759.5264,811.3606,0.9344,738.0403,789.8745,0.9363,652.0172,696.3911,306.8221,1184,0.0684,0.0954,7.933333333333334,19.7,9.7,-1.2333333333333334,104,107.33333333333333,100,93.33333333333333,53.7,58.866666666666674,49,41.833333333333336
24,25,,Chism 1,-76.146,54.799,-23.9,-23.4,-17.4,-7.2,1.4,7.4,11.1,10.6,6,0.4,-7.1,-18.8,37,28,33,33,44,69,82,101,104,77,66,42,26.9,39.7,43.6,43.9,38.2,39.7,38.9,36.7,23.6,17,13.9,20.6,-5.075,32.8,-51.2,1107.2,429.3,256,-23.9,11.1,0.751,276.8805,368.6653,0.7698,256.6422,333.3916,0.7812,188.3038,241.0452,318.7979,716,0.0517,0.1145,-7.733333333333333,9.7,-0.2333333333333331,-16.6,36.666666666666664,84,82.33333333333333,48.333333333333336,41.9,38.43333333333333,18.166666666666668,20.466666666666665
25,26,,Clear Lake,-86.53,41.65,-5.3,-3.5,2.8,9.1,15.2,20.4,22.6,21.4,17.7,11.2,4.7,-2.2,56,48,77,98,85,106,102,94,95,81,85,79,43.5,47.1,50.7,56.3,62.8,68.6,69.4,67.3,62,54.5,36.9,33.7,9.508333333333333,39.1,-29.4,3779.5,2502.4,133,-5.3,22.6,0.8505,749.7416,881.5789,0.8476,733.041,864.8783,0.8344,651.7343,781.0814,210.8661,1006,0.0557,0.1014,9.033333333333333,21.46666666666667,11.2,-0.9333333333333332,86.66666666666667,100.66666666666667,87,73.33333333333333,56.6,68.43333333333334,51.13333333333333,38.03333333333333
26,27,,Clearwater Lake,-107.933,50.874,-13.9,-10.8,-4.4,4.6,11.6,16.3,18.8,18,11.9,5.8,-4.3,-11.7,17,13,16,18,41,60,56,34,29,13,12,17,38.4,43.5,44.5,53.1,56.8,58.9,67.4,66,49.6,50,39.6,33.7,3.491666666666667,41,-48,2592.2,1588.3,180,-13.9,18.8,0.5014,326.4122,651.0274,0.525,326.1574,621.2054,0.5178,292.6198,565.1042,78.7869,326,0.0521,0.1718,3.933333333333333,17.7,4.466666666666666,-9.966666666666667,25,50,18,15.333333333333334,51.46666666666666,64.1,46.4,37.23333333333334
27,28,,Colo Marsh,-93.27,42.02,-8.2,-5.2,1.8,9.5,16,21.2,23.6,22,17.3,10.9,2.8,-5.4,22,27,55,82,99,120,106,109,91,64,43,31,54,57,56.7,56.9,61.7,67.8,71.7,68.5,62.9,60.2,45.8,45,8.858333333333333,41.7,-33.9,3778.1,2565,142,-8.2,23.6,0.8822,785.9844,890.8961,0.8776,751.6361,856.4736,0.8811,689.8098,782.9109,121.1535,849,0.0259,0.1249,9.1,22.266666666666666,10.333333333333334,-3.6,78.66666666666667,111.66666666666667,66,32,58.43333333333334,69.33333333333333,56.3,48.26666666666667
28,29,,Conroy Lake,-67.883,46.283,-11.7,-10.3,-3.7,3.3,10.4,15.9,18.7,17.4,12.3,6.4,-0.3,-8.6,72,59,67,73,83,85,93,95,87,83,100,89,34.2,39.4,40.2,39.5,44,46,49.9,51,44.3,38,29.2,28.3,4.15,36.1,-36.3,2553.1,1528.8,182,-11.7,18.7,0.8703,537.7903,617.9294,0.8782,512.9611,584.1169,0.88,447.9298,509.0273,381.2546,986,0.073,0.0943,3.3333333333333335,17.333333333333332,6.133333333333334,-6.866666666666667,74.33333333333333,91,90,87,41.233333333333334,48.96666666666667,37.166666666666664,30.566666666666666
29,30,,Coppermine Saddleback,-115.317,67.833,-29.5,-29.6,-26.9,-17.7,-5.8,4.2,9.8,8.2,2.4,-6.9,-20.3,-25.9,10,8,11,12,15,17,30,38,28,25,14,12,22.1,42.9,55.6,59.6,54.1,56.8,56.3,46.9,30.9,17,20.8,12.7,-11.5,27.5,-49.1,691.1,214.3,291,-29.6,9.8,0.5962,164.9469,276.6745,0.6438,159.6608,247.9904,0.6356,106.1815,167.062,122.78,220,0.0455,0.1364,-16.8,7.4,-8.266666666666667,-25.233333333333334,12.666666666666666,28.333333333333332,22.333333333333332,12,56.43333333333334,53.333333333333336,22.9,18.533333333333335
30,31,,Cranberry Glades,-80.283,38.2,-3.1,-1.4,4.3,9.2,14.5,18,19.9,19.2,16.2,10.4,5,-0.3,105,104,124,115,125,113,139,117,103,99,104,113,41.2,43.5,48.1,50.5,51.6,52,49.9,50,49.8,51.5,41.6,37.8,9.325,37,-29.8,3548.6,2206.7,126,-3.1,19.9,0.955,778.7486,815.4025,0.955,778.7486,815.4025,0.9601,677.7874,705.9484,305.3731,1361,0.0771,0.1021,9.333333333333334,19.03333333333333,10.533333333333333,0.5333333333333333,121.33333333333333,123,102,107.33333333333333,50.06666666666666,50.63333333333333,47.63333333333333,40.2
31,32,,Crates Lake,-81.267,49.183,-18.5,-16.3,-9.2,0.3,8.4,13.8,16.9,15.4,10.2,4.3,-4.2,-14.7,61,45,55,46,70,89,95,89,100,77,72,66,34.6,43.3,41.4,45.4,47.2,48.3,52.2,50,34.3,28.5,21.7,26.8,0.5333333333333329,35.8,-46.5,2085.9,1176.7,202,-18.5,16.9,0.9051,494.7336,546.5879,0.9278,474.3139,511.2179,0.9166,405.7382,442.6421,342.4326,865,0.0705,0.1098,-0.16666666666666607,15.366666666666667,3.4333333333333336,-12.466666666666667,57,91,83,66.33333333333333,44.666666666666664,50.166666666666664,28.166666666666668,27.7
32,33,,Crawford Lake,-79.83,43.5,-6,-5.1,-0.2,6.6,12.7,17.9,21,20.2,16,9.7,4,-2.5,56,51,66,70,68,73,69,89,77,66,74,75,32.5,37.1,39,46.6,52.1,56.8,61.7,57.7,46.4,41.8,28.2,24.6,7.858333333333333,39.8,-30.5,3280.8,2084.9,149,-6,21,0.7962,595.2827,747.622,0.7898,572.4263,724.7656,0.7694,497.3372,646.3544,240.0339,834,0.0671,0.0827,6.366666666666666,19.7,9.9,-1.5,68,77,72.33333333333333,68.33333333333333,45.9,58.73333333333333,38.8,28.433333333333334
33,34,,Crider's Pond,-77.55,39.967,-2.8,-1.3,4.2,9.9,15.5,20.2,22.6,21.7,17.6,11.2,5.7,-0.2,73,71,91,87,98,102,89,88,87,78,88,83,45.4,49.2,53.3,55.5,56.8,61.2,63,61.6,57.4,54.6,42.7,39,10.358333333333336,39,-26.9,3915.2,2563.2,122,-2.8,22.6,0.8851,782.2755,883.819,0.8851,782.2755,883.819,0.8726,681.3254,780.7834,211.8698,1035,0.0705,0.086,9.866666666666667,21.5,11.5,0.9,92,93,84.33333333333333,81.33333333333333,55.2,61.93333333333334,51.56666666666666,42.36666666666667
34,35,,Cub Lake,-84.9536,44.7189,-8.1,-7.8,-2.5,5.1,11.5,16.4,19.3,18.1,13.8,8,1.8,-5,46,33,50,61,65,76,69,82,92,64,64,54,34.5,42.8,47.9,52.5,58.3,61,65,59.3,50.3,41.6,27.4,25.8,5.883333333333333,40.6,-39.5,2831,1727.1,166,-8.1,19.3,0.7689,557.9799,725.6895,0.7568,521.6074,689.2693,0.7548,462.7177,613.059,215.6013,756,0.0608,0.0913,4.7,17.933333333333334,7.866666666666667,-3.766666666666667,58.666666666666664,75.66666666666667,73.33333333333333,54.666666666666664,52.9,61.76666666666667,39.76666666666667,29.233333333333334
35,36,,Cupola Pond,-91.1,36.8,-0.4,2.3,7.9,13.7,18,22.7,25.3,24.2,20,13.8,7.6,1.7,72,77,115,111,121,90,91,94,95,77,114,97,52.8,53.5,59.3,61.8,68.4,70.8,71.9,70.7,64.9,70,52.9,49.5,13.066666666666665,44.2,-24.4,4796,3266.1,91,-0.4,25.3,0.8765,925.6988,1056.1881,0.8765,925.6988,1056.1881,0.8679,841.2015,969.2746,112.0273,1154,0.0624,0.0789,13.2,24.066666666666666,13.8,2.9666666666666663,115.66666666666667,91.66666666666667,95.33333333333333,94.33333333333333,63.166666666666664,71.13333333333333,62.6,51.73333333333333
36,37,,Cycloid Lake,-105.267,55.267,-21.3,-17.3,-9.7,0.9,8.6,14.2,16.8,15.3,9.3,2.5,-9.1,-18.4,21,16,20,27,40,78,84,61,59,36,32,25,35,43.3,44.1,51.4,50.5,50.6,52.7,55.5,37.4,35.6,27.6,28.9,-0.6833333333333328,34.8,-48.2,2028.5,1147.3,209,-21.3,16.8,0.7543,387.5871,513.8578,0.7647,371.7411,486.1413,0.7418,314.7539,424.3006,145.3526,499,0.0421,0.1683,-0.06666666666666643,15.433333333333332,0.9,-16.266666666666666,29,74.33333333333333,42.333333333333336,26,48.666666666666664,52.93333333333334,33.53333333333333,30.5
37,38,,Dark Lake,-91.475,45.275,-12.2,-9.2,-1.8,6.6,13.4,18.3,21.2,19.5,14.3,8.3,-0.2,-8.9,24,17,40,66,93,106,97,111,96,59,41,28,51.8,58.6,55.7,57.8,60.5,62.1,66.8,63.4,54.8,50.4,38.1,40.8,5.775,40.3,-39.2,3085.3,1989.7,164,-12.2,21.2,0.8612,657.6445,763.6169,0.8673,630.8657,727.3925,0.8583,564.7806,658.0197,136.3997,778,0.0308,0.1247,6.066666666666666,19.666666666666668,7.466666666666668,-7.1,66.33333333333333,104.66666666666667,65.33333333333333,31,58,64.1,47.76666666666666,43.56666666666666
38,39,,Deer Lake Bog,-71.833,44.033,-12.2,-10.8,-5.1,1.3,8.8,13.3,15.5,14.3,10.1,4.2,-2.3,-9.5,80,75,86,90,110,125,121,139,107,100,110,98,37.4,42.9,41.7,44.3,47.9,48.4,52.4,48.5,44.6,40.5,28.3,29.6,2.3,34,-42.9,2028.7,1094,201,-12.2,15.5,0.7592,460.0894,606.02,0.7781,435.8737,560.2095,0.7898,367.051,464.7492,503.1858,1241,0.0645,0.0975,1.666666666666667,14.366666666666667,4,-8,95.33333333333333,128.33333333333334,105.66666666666667,96,44.63333333333333,49.76666666666667,37.8,31.76666666666667
39,40,,Demont Lake,-85,43.48,-6.7,-5.8,-0.2,7,13.5,18.6,21.3,19.9,15.6,9.3,2.9,-3.5,43,33,57,78,74,84,69,90,96,70,70,56,35,42.9,48.1,53.1,58.8,63,66,61.7,54.5,44.6,29,25.6,7.658333333333332,40.5,-33.5,3280.2,2106.5,152,-6.7,21.3,0.7269,572.016,786.905,0.7209,547.1426,758.9196,0.7286,496.1556,680.983,195.2374,820,0.0524,0.0841,6.766666666666667,19.933333333333334,9.266666666666666,-2.4333333333333336,69.66666666666667,81,78.66666666666667,56.333333333333336,53.333333333333336,63.56666666666666,42.7,29.866666666666664
40,41,,Devils Lake [Wisconsin],-89.732,43.418,-9.2,-6.8,-0.1,7.3,13.5,18.7,21.4,19.8,15.2,9.4,1.8,-6,28,28,53,80,81,96,98,99,96,62,56,39,50.3,55.9,53.3,53.6,60.5,64.5,66.2,64,56.6,52.1,39.3,40.6,7.083333333333333,39.3,-35.6,3254.4,2100.8,154,-9.2,21.4,0.8528,684.7171,802.9279,0.846,649.1945,767.4053,0.8407,581.7007,691.8991,160.8136,816,0.0343,0.1201,6.9,19.966666666666665,8.8,-4.466666666666666,71.33333333333333,97.66666666666667,71.33333333333333,41,55.8,64.9,49.333333333333336,43.4
41,42,,Diana 375,-69.958,60.988,-22.9,-23.4,-20.3,-12.9,-3.9,1.6,5.9,5.7,2.4,-2.9,-8.5,-17.6,21,18,18,21,24,42,63,58,43,40,32,22,21.8,33.8,46.2,45.8,27.9,31.6,37.2,36.7,21.6,16.2,15.7,15.1,-8.066666666666668,25.9,-44.9,441.4,30,321,-23.4,5.9,0.856,214.807,250.9521,0.8517,190.5107,223.6959,0.7681,65.1186,84.7767,234.2443,402,0.0522,0.1567,-12.366666666666667,4.4,-3,-16.333333333333332,21,54.333333333333336,38.333333333333336,25,39.96666666666667,35.16666666666667,17.833333333333332,17.53333333333333
42,43,,Dismal Swamp [1],-76.45,36.583,4.2,5.4,9.9,14.4,19.3,23.5,25.8,25.2,22.1,16.2,11.4,6.6,95,88,97,77,100,100,132,129,103,80,71,77,55.1,57.3,62.3,65.4,63,64.6,63.2,62.7,62.3,60.7,58,53.4,15.333333333333334,39.3,-13.2,5618.6,3805.2,29,4.2,25.8,0.9636,1031.4647,1070.3899,0.9636,1031.4647,1070.3899,0.9626,1000.6227,1039.5477,0,1149,0.0827,0.1149,14.533333333333333,24.833333333333332,16.566666666666666,7.4,91.33333333333333,120.33333333333333,84.66666666666667,81,63.56666666666666,63.5,60.333333333333336,55.5
